price,soc,soc_mwh,grid_import_mwh,grid_export_mwh,charge_mwh,discharge_mwh,objective,revenue,cumulative_revenue,generation_mw,charge_btm_mwh,charge_grid_mwh,charge_surplus_mwh,generation_mwh,generation_revenue_uncurtailed,generation_curtailed_mwh,generation_revenue_curtailed,pv_net_export_mwh,total_export_mwh
10.0,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.81,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.82,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.72,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.58,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.08,0.11977126637887736,0.23954253275775472,0.0,0.0,-0.0,0.0,0.0,0.0,435.0700224300876,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
34.69,0.1209571205014405,0.241914241002881,0.0,0.0,0.0023717082451262844,0.0,-0.083275,-0.083275,434.9867474300876,0.0025,0.0025,0.0,0.0,0.0025,0.08327499999999999,0.0025,0.08327499999999999,0.0,0.0
32.83,0.1351873699721982,0.2703747399443964,0.0,0.0,0.02846049894151541,0.0,-0.9434999999999999,-0.9434999999999999,434.0432474300876,0.03,0.03,0.0,0.0,0.03,0.9434999999999999,0.03,0.9434999999999999,0.0,0.0
31.28,0.15534689005577162,0.31069378011154325,0.0,0.0,0.04031904016714684,0.0,-1.27075,-1.27075,432.7724974300876,0.0425,0.0425,0.0,0.0,0.0425,1.2707500000000003,0.0425,1.2707500000000003,0.0,0.0
28.6,0.17669226426190818,0.35338452852381635,0.0,0.0,0.04269074841227312,0.0,-1.2248999999999999,-1.2248999999999999,431.5475974300876,0.045,0.045,0.0,0.0,0.045,1.2249,0.045,1.2249,0.0,0.0
25.61,0.18380738899728702,0.36761477799457404,0.0,0.0,0.014230249470757706,0.0,-0.36345,-0.36345,431.1841474300876,0.015,0.015,0.0,0.0,0.015,0.36345,0.015,0.36345,0.0,0.0
